"CENSUS_YEAR","GEO_CODE (POR)","GEO_LEVEL","GEO_NAME","GNR","GNR_LF","DATA_QUALITY_FLAG","ALT_GEO_CODE","DIM: Profile of Health Regions (2247)","Member ID: Profile of Health Regions (2247)","Notes: Profile of Health Regions (2247)","Dim: Sex (3): Member ID: [1]: Total - Sex","Dim: Sex (3): Member ID: [2]: Male","Dim: Sex (3): Member ID: [3]: Female"
2016,"01","0","Canada",4.0,5.1,"20000","01","Population, 2016",1,1,35151728,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Population, 2011",2,2,33476688,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Population percentage change, 2011 to 2016",3,,5.0,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Total private dwellings",4,3,15412443,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Private dwellings occupied by usual residents",5,4,14072079,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Population density per square kilometre",6,,3.9,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Land area in square kilometres",7,,8965588.85,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Total - Age groups and average age of the population - 100% data",8,5,35151725,17264200,17887530
2016,"01","0","Canada",4.0,5.1,"20000","01","0 to 14 years",9,,5839565,2992920,2846645
2016,"01","0","Canada",4.0,5.1,"20000","01","0 to 4 years",10,,1898790,973035,925760
2016,"01","0","Canada",4.0,5.1,"20000","01","5 to 9 years",11,,2018130,1034685,983445
2016,"01","0","Canada",4.0,5.1,"20000","01","10 to 14 years",12,,1922645,985200,937445
2016,"01","0","Canada",4.0,5.1,"20000","01","15 to 64 years",13,,23376525,11576130,11800400
2016,"01","0","Canada",4.0,5.1,"20000","01","15 to 19 years",14,,2026155,1039215,986940
2016,"01","0","Canada",4.0,5.1,"20000","01","20 to 24 years",15,,2242695,1144490,1098200
2016,"01","0","Canada",4.0,5.1,"20000","01","25 to 29 years",16,,2285995,1144470,1141515
2016,"01","0","Canada",4.0,5.1,"20000","01","30 to 34 years",17,,2329400,1148290,1181105
2016,"01","0","Canada",4.0,5.1,"20000","01","35 to 39 years",18,,2288370,1118635,1169735
2016,"01","0","Canada",4.0,5.1,"20000","01","40 to 44 years",19,,2255135,1104445,1150690
2016,"01","0","Canada",4.0,5.1,"20000","01","45 to 49 years",20,,2359960,1157755,1202205
2016,"01","0","Canada",4.0,5.1,"20000","01","50 to 54 years",21,,2678070,1318750,1359320
2016,"01","0","Canada",4.0,5.1,"20000","01","55 to 59 years",22,,2620240,1285190,1335055
2016,"01","0","Canada",4.0,5.1,"20000","01","60 to 64 years",23,,2290510,1114880,1175630
2016,"01","0","Canada",4.0,5.1,"20000","01","65 years and over",24,,5935630,2695150,3240485
2016,"01","0","Canada",4.0,5.1,"20000","01","65 to 69 years",25,,1972475,953075,1019400
2016,"01","0","Canada",4.0,5.1,"20000","01","70 to 74 years",26,,1420875,677970,742900
2016,"01","0","Canada",4.0,5.1,"20000","01","75 to 79 years",27,,1021850,469545,552305
2016,"01","0","Canada",4.0,5.1,"20000","01","80 to 84 years",28,,749650,325760,423885
2016,"01","0","Canada",4.0,5.1,"20000","01","85 years and over",29,,770785,268795,501990
2016,"01","0","Canada",4.0,5.1,"20000","01","85 to 89 years",30,,482525,185530,296985
2016,"01","0","Canada",4.0,5.1,"20000","01","90 to 94 years",31,,223505,68675,154830
2016,"01","0","Canada",4.0,5.1,"20000","01","95 to 99 years",32,,56525,13245,43280
2016,"01","0","Canada",4.0,5.1,"20000","01","100 years and over",33,,8230,1340,6895
2016,"01","0","Canada",4.0,5.1,"20000","01","Total - Distribution (%) of the population by broad age groups - 100% data",34,,100.0,100.0,100.0
2016,"01","0","Canada",4.0,5.1,"20000","01","0 to 14 years",35,,16.6,17.3,15.9
2016,"01","0","Canada",4.0,5.1,"20000","01","15 to 64 years",36,,66.5,67.1,66.0
2016,"01","0","Canada",4.0,5.1,"20000","01","65 years and over",37,,16.9,15.6,18.1
2016,"01","0","Canada",4.0,5.1,"20000","01","85 years and over",38,,2.2,1.6,2.8
2016,"01","0","Canada",4.0,5.1,"20000","01","Average age of the population",39,,41.0,40.1,41.9
2016,"01","0","Canada",4.0,5.1,"20000","01","Median age of the population",40,6,41.2,40.2,42.2
2016,"01","0","Canada",4.0,5.1,"20000","01","Total - Occupied private dwellings by structural type of dwelling - 100% data",41,7,14072080,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Single-detached house",42,,7541495,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Apartment in a building that has five or more storeys",43,,1391040,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Other attached dwelling",44,8,4949790,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Semi-detached house",45,,698795,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Row house",46,,891305,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Apartment or flat in a duplex",47,,784295,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Apartment in a building that has fewer than five storeys",48,,2539390,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Other single-attached house",49,,36000,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Movable dwelling",50,9,189755,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Total - Private households by household size - 100% data",51,10,14072080,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","1 person",52,,3969790,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","2 persons",53,,4834605,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","3 persons",54,,2140635,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","4 persons",55,,1946275,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","5 or more persons",56,,1180770,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Number of persons in private households",57,,34460065,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Average household size",58,,2.4,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Total - Marital status for the population aged 15 years and over - 100% data",59,11,29312160,14271280,15040880
2016,"01","0","Canada",4.0,5.1,"20000","01","Married or living common law",60,,16893720,8452135,8441585
2016,"01","0","Canada",4.0,5.1,"20000","01","Married",61,,13383455,6693460,6689995
2016,"01","0","Canada",4.0,5.1,"20000","01","Living common law",62,,3510265,1758675,1751590
2016,"01","0","Canada",4.0,5.1,"20000","01","Not married and not living common law",63,,12418445,5819140,6599300
2016,"01","0","Canada",4.0,5.1,"20000","01","Never married",64,,8254340,4444425,3809915
2016,"01","0","Canada",4.0,5.1,"20000","01","Separated",65,,718300,309905,408395
2016,"01","0","Canada",4.0,5.1,"20000","01","Divorced",66,,1816005,725535,1090465
2016,"01","0","Canada",4.0,5.1,"20000","01","Widowed",67,,1629800,339280,1290525
2016,"01","0","Canada",4.0,5.1,"20000","01","Total - Census families in private households by family size - 100% data",68,12,9840725,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","2 persons",69,,5007790,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","3 persons",70,,2107830,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","4 persons",71,,1909930,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","5 or more persons",72,,815175,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Average size of census families",73,,2.9,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Total number of census families in private households - 100% data",74,,9840725,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Total couple families",75,,8227925,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Married couples",76,,6474000,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Common-law couples",77,,1753920,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Total lone-parent families by sex of parent",78,,1612805,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Female parent",79,,1262335,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Male parent",80,,350470,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Total - Couple census families in private households - 100% data",81,,8227920,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Couples without children",82,,4024305,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Couples with children",83,,4203615,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","1 child",84,,1650165,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","2 children",85,,1783080,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","3 or more children",86,,770375,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Total - Lone-parent census families in private households - 100% data",87,,1612805,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","1 child",88,,983485,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","2 children",89,,457665,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","3 or more children",90,,171655,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Total - Persons not in census families in private households - 100% data",91,,6107260,2941390,3165865
2016,"01","0","Canada",4.0,5.1,"20000","01","Total - Private households by household type - 100% data",92,13,14072080,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","One-census-family households",93,,9218220,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Without children in a census family",94,14,3782090,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","With children in a census family",95,15,5436130,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Multiple-census-family households",96,,301715,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Non-census-family households",97,,4552140,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","One-person households",98,,3969790,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Two-or-more person non-census-family households",99,,582345,...,...
2016,"01","0","Canada",4.0,5.1,"20000","01","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",100,16,34767250,17101170,17666080
2016,"01","0","Canada",4.0,5.1,"20000","01","English only",101,,23757520,11838075,11919455
2016,"01","0","Canada",4.0,5.1,"20000","01","French only",102,,4144685,1925845,2218845
2016,"01","0","Canada",4.0,5.1,"20000","01","English and French",103,,6216070,3071325,3144740
2016,"01","0","Canada",4.0,5.1,"20000","01","Neither English nor French",104,,648970,265925,383050
2016,"01","0","Canada",4.0,5.1,"20000","01","Total - First official language spoken for the total population excluding institutional residents - 100% data",105,18,34767255,17101170,17666085
2016,"01","0","Canada",4.0,5.1,"20000","01","English",106,,26007495,12852335,13155165
2016,"01","0","Canada",4.0,5.1,"20000","01","French",107,,7705755,3780105,3925650
2016,"01","0","Canada",4.0,5.1,"20000","01","English and French",108,,417490,209130,208360
2016,"01","0","Canada",4.0,5.1,"20000","01","Neither English nor French",109,,636515,259605,376915
2016,"01","0","Canada",4.0,5.1,"20000","01","Official language minority (number)",110,20,7914495,3884670,4029830
2016,"01","0","Canada",4.0,5.1,"20000","01","Official language minority (percentage)",111,21,22.8,22.7,22.8
2016,"01","0","Canada",4.0,5.1,"20000","01","Total - Mother tongue for the total population excluding institutional residents - 100% data",112,22,34767250,17101170,17666080
2016,"01","0","Canada",4.0,5.1,"20000","01","Single responses",113,,33948615,16702840,17245780
2016,"01","0","Canada",4.0,5.1,"20000","01","Official languages",114,,26627555,13201620,13425935
2016,"01","0","Canada",4.0,5.1,"20000","01","English",115,,19460850,9680125,9780725
2016,"01","0","Canada",4.0,5.1,"20000","01","French",116,,7166705,3521490,3645210
2016,"01","0","Canada",4.0,5.1,"20000","01","Non-official languages",117,,7321065,3501220,3819845
2016,"01","0","Canada",4.0,5.1,"20000","01","Aboriginal languages",118,,195695,94795,100900
2016,"01","0","Canada",4.0,5.1,"20000","01","Algonquian languages",119,,130450,62935,67520
2016,"01","0","Canada",4.0,5.1,"20000","01","Blackfoot",120,,2815,1330,1485
2016,"01","0","Canada",4.0,5.1,"20000","01","Cree-Montagnais languages",121,,88450,42915,45530
2016,"01","0","Canada",4.0,5.1,"20000","01","Atikamekw",122,,6150,3130,3015
2016,"01","0","Canada",4.0,5.1,"20000","01","Montagnais (Innu)",123,,10235,4885,5350
2016,"01","0","Canada",4.0,5.1,"20000","01","Moose Cree",124,,105,50,55
2016,"01","0","Canada",4.0,5.1,"20000","01","Naskapi",125,,1210,590,620
2016,"01","0","Canada",4.0,5.1,"20000","01","Northern East Cree",126,,315,125,185
2016,"01","0","Canada",4.0,5.1,"20000","01","Plains Cree",127,,3070,1360,1710
2016,"01","0","Canada",4.0,5.1,"20000","01","Southern East Cree",128,,45,20,25
2016,"01","0","Canada",4.0,5.1,"20000","01","Swampy Cree",129,,1435,585,855
2016,"01","0","Canada",4.0,5.1,"20000","01","Woods Cree",130,,1840,865,975
2016,"01","0","Canada",4.0,5.1,"20000","01","Cree, n.o.s.",131,,64050,31305,32740
2016,"01","0","Canada",4.0,5.1,"20000","01","Eastern Algonquian languages",132,,6995,3310,3680
2016,"01","0","Canada",4.0,5.1,"20000","01","Malecite",133,,300,140,160
2016,"01","0","Canada",4.0,5.1,"20000","01","Mi'kmaq",134,,6685,3165,3520
2016,"01","0","Canada",4.0,5.1,"20000","01","Ojibway-Potawatomi languages",135,,32150,15350,16795
2016,"01","0","Canada",4.0,5.1,"20000","01","Algonquin",136,,1260,590,670
2016,"01","0","Canada",4.0,5.1,"20000","01","Ojibway",137,,17890,8440,9445
2016,"01","0","Canada",4.0,5.1,"20000","01","Oji-Cree",138,,12855,6260,6590
2016,"01","0","Canada",4.0,5.1,"20000","01","Ottawa (Odawa)",139,,150,65,80
2016,"01","0","Canada",4.0,5.1,"20000","01","Algonquian languages, n.i.e.",140,,45,25,20
2016,"01","0","Canada",4.0,5.1,"20000","01","Athabaskan languages",141,,17365,8325,9045
