"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Population estimates on July 1st, by age and sex",17100005,051-0001,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000501",1;2;6;7,"CURRENT - a cube available to the public and that is current",Annual,1971-01-01,2019-01-01,3

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,,
2,Sex,,
3,"Age group",5;6,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,Canada,[11124],1,,,,
1,"Newfoundland and Labrador",[10],2,1,,,
1,"Prince Edward Island",[11],3,1,,,
1,"Nova Scotia",[12],4,1,,,
1,"New Brunswick",[13],5,1,,,
1,Quebec,[24],6,1,,,
1,Ontario,[35],7,1,,,
1,Manitoba,[46],8,1,,,
1,Saskatchewan,[47],9,1,,,
1,Alberta,[48],10,1,,,
1,"British Columbia",[59],11,1,,,
1,Yukon,[60],12,1,,,
1,"Northwest Territories including Nunavut",,13,1,t,3,
1,"Northwest Territories",[61],14,1,,4,
1,Nunavut,[62],15,1,,4,
2,"Both sexes",,1,,,,
2,Males,,2,1,,,
2,Females,,3,1,,,
3,"All ages",,1,,,,
3,"0 years",,2,7,,,
3,"1 year",,3,7,,,
3,"2 years",,4,7,,,
3,"3 years",,5,7,,,
3,"4 years",,6,7,,,
3,"0 to 4 years",,7,1,,,
3,"5 years",,8,13,,,
3,"6 years",,9,13,,,
3,"7 years",,10,13,,,
3,"8 years",,11,13,,,
3,"9 years",,12,13,,,
3,"5 to 9 years",,13,1,,,
3,"10 years",,14,19,,,
3,"11 years",,15,19,,,
3,"12 years",,16,19,,,
3,"13 years",,17,19,,,
3,"14 years",,18,19,,,
3,"10 to 14 years",,19,1,,,
3,"15 years",,20,25,,,
3,"16 years",,21,25,,,
3,"17 years",,22,25,,,
3,"18 years",,23,25,,,
3,"19 years",,24,25,,,
3,"15 to 19 years",,25,1,,,
3,"20 years",,26,31,,,
3,"21 years",,27,31,,,
3,"22 years",,28,31,,,
3,"23 years",,29,31,,,
3,"24 years",,30,31,,,
3,"20 to 24 years",,31,1,,,
3,"25 years",,32,37,,,
3,"26 years",,33,37,,,
3,"27 years",,34,37,,,
3,"28 years",,35,37,,,
3,"29 years",,36,37,,,
