"Population estimates on July 1st, by age and sex" 1 2 3 4
"Annual"
"Table: 17-10-0005-01 (formerly CANSIM 051-0001)"
"Geography: Canada, Province or territory"

"","Newfoundland and Labrador","Prince Edward Island","Nova Scotia","New Brunswick","Quebec","Ontario","Manitoba","Saskatchewan","Alberta","British Columbia","Yukon","Northwest Territories including Nunavut (Terminated) 6","Northwest Territories 7","Nunavut 7"
"","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes"
"Age group3 5","2019","2019","2019","2019","2019","2019","2019","2019","2019","2019","2019","2019","2019","2019"
"","Persons",,,,,,,,,,,,,
"All ages","521,542","156,947","971,395","776,827","8,484,965","14,566,547","1,369,465","1,174,462","4,371,316","5,071,336","40,854","..t","44,826","38,780"
"0 to 4 years","21,231","7,455","43,220","34,313","433,857","728,255","86,184","77,513","274,355","227,118","2,362","..t","3,064","4,248"
"5 to 9 years","24,039","8,306","46,270","38,251","463,229","764,053","88,473","78,079","277,117","241,803","2,395","..t","3,048","4,289"
"10 to 14 years","25,928","8,772","47,157","39,479","441,575","787,869","84,455","74,591","268,395","244,657","2,152","..t","2,921","3,811"
"15 to 19 years","27,310","9,184","51,479","41,021","424,486","861,516","87,834","71,675","254,877","277,122","2,042","..t","2,822","3,267"
"20 to 24 years","28,455","10,624","61,895","42,993","503,015","1,035,287","96,457","75,192","277,814","336,531","2,338","..t","3,045","3,052"
"25 to 29 years","28,561","9,808","62,940","43,915","563,583","1,050,412","98,926","81,054","322,348","354,021","2,884","..t","3,749","3,273"
"30 to 34 years","28,652","8,880","59,345","44,022","536,815","1,009,817","97,477","86,608","356,080","366,111","3,370","..t","3,652","3,109"
"35 to 39 years","30,412","9,253","57,584","46,515","578,990","965,953","93,248","84,448","352,392","351,725","3,384","..t","3,445","2,672"
"40 to 44 years","31,928","9,495","56,509","48,201","565,658","915,068","85,485","73,807","310,907","315,716","2,887","..t","3,147","2,201"
"45 to 49 years","36,729","10,336","61,717","52,087","521,415","941,055","82,440","66,936","284,912","330,697","2,821","..t","3,043","2,218"
"50 to 54 years","40,991","10,574","67,503","55,922","564,948","991,445","81,825","67,715","267,626","345,770","2,779","..t","3,312","2,257"
"55 to 59 years","43,154","12,035","79,173","63,374","642,265","1,068,094","90,670","78,454","286,198","377,943","3,261","..t","3,265","1,740"
"60 to 64 years","42,234","11,241","74,902","61,310","610,417","937,761","81,675","73,693","257,898","354,060","3,008","..t","2,594","1,095"
"65 to 69 years","39,110","10,032","64,865","53,983","513,602","778,647","68,689","59,130","198,601","305,446","2,171","..t","1,656","675"
"70 to 74 years","31,391","8,675","54,809","44,758","426,341","644,425","54,316","44,300","147,896","246,972","1,440","..t","982","455"
"75 to 79 years","19,283","5,344","35,855","29,097","296,603","444,319","36,807","31,005","98,084","166,322","780","..t","549","229"
"80 to 84 years","11,986","3,567","23,432","18,731","192,230","311,137","25,338","22,676","65,905","110,843","449","..t","294","116"
"85 to 89 years","6,535","2,109","13,986","11,512","127,255","201,296","16,860","15,843","43,176","71,831","224","..t","153","48"
"90 to 94 years","2,677","925","6,313","5,291","59,247","96,675","8,765","8,340","20,012","34,153","76","..t","62","18"
"95 to 99 years","799","281","2,085","1,767","16,875","29,701","3,020","2,899","5,796","10,811","28","..t","19","5"
"100 years and over","137","51","356","285","2,559","3,762","521","504","927","1,684","3","..t","4","2"
"0 to 14 years","71,198","24,533","136,647","112,043","1,338,661","2,280,177","259,112","230,183","819,867","713,578","6,909","..t","9,033","12,348"
"0 to 15 years","76,450","26,298","146,224","119,956","1,420,562","2,439,551","275,579","244,476","870,814","763,268","7,318","..t","9,605","13,042"
"0 to 16 years","81,756","28,055","155,853","128,023","1,502,016","2,599,828","292,020","258,409","920,984","815,255","7,713","..t","10,140","13,683"
"0 to 17 years","87,198","29,762","165,939","136,096","1,584,856","2,765,376","308,969","272,318","970,452","868,559","8,119","..t","10,672","14,324"
"15 to 49 years","212,047","67,580","411,469","318,754","3,693,962","6,779,108","641,867","539,720","2,159,330","2,331,923","19,726","..t","22,903","19,792"
"15 to 64 years","338,426","101,430","633,047","499,360","5,511,592","9,776,408","896,037","759,582","2,971,052","3,409,696","28,774","..t","32,074","24,884"
"16 to 64 years","333,174","99,665","623,470","491,447","5,429,691","9,617,034","879,570","745,289","2,920,105","3,360,006","28,365","..t","31,502","24,190"
"17 to 64 years","327,868","97,908","613,841","483,380","5,348,237","9,456,757","863,129","731,356","2,869,935","3,308,019","27,970","..t","30,967","23,549"
"18 years and over","434,344","127,185","805,456","640,731","6,900,109","11,801,171","1,060,496","902,144","3,400,864","4,202,777","32,735","..t","34,154","24,456"
